"Ajax Pro","Ajax Pro"
"Continue shopping","Continua la compra"
"Go to Wishlist","Ve a la lista de peticiones"
"Are you sure you would like to remove this item from the shopping cart?","¿Estas seguro de que deseas quitar estos artículos del carrito de compras?"
"Are you sure you would like to remove this item from the compare products?","¿Estas seguro de que deseas quitar este artículo de la comparación de productos?"
"Are you sure you would like to remove all products from your comparison?","¿Estas seguro de que deseas quitar todos los productos de la comparación?"
"Are you sure you would like to remove this item from the wishlist?","¿Estas seguro de que deseas quitar este artículo de la lista de peticiones?"
"View cart & checkout","Ver carrito & Ver resultados"
"Compare Items","Comparar artículos"
"center","Centro"
"top","Parte superior"
"bottom","Parte inferior"
"General","General"
"Location","Ubicación"
"Opacity message form (0 - 1)","Opacidad de la aplicación del mensaje (0-1)"
"Add to Cart","Agregar al carrito"
"Add to Cart","Agregar al carrito"
"Add to Compare","Agregar para comparar"
"Add to Wishlist","Agregar a la lista de peticiones"
"Enabled","Habilitar"
"Disable On Shopping Cart Page","Desactivar página de carrito de compras"
"General","General"
"Enable Ajax Pro","Habilitar Ajax Pro"
"Message window position","Posición de la ventana de mensaje"
"Message window opacity (0 - 1)","Opacidad de la ventana de mensaje (0-1)"
"Message window message","Mensaje de ventana de mensaje"
"Enable Notice Form","Habilitar forma de aviso"
"Disable On Shopping Cart Page","Desactivar Página de carrito de compras"
"Enable","Habilitar"
"Enable message window","Habilitar ventana de mensaje"
"Enable delete confirm","Habilitar Confirmar Borrar"
"My Cart (%s item)","Mi carrito (%s artículo)"
"My Cart","Mi carrito"
"Product not available","Producto no disponible"
"%s was successfully added to your shopping cart.","%s fue agregado con éxito al carrito de compras"
"Can not add item to shopping cart","No se puede agregar artículo al carrito de compras"
"Update successful","Actualización exitosa"
"Shopping cart item(s) remove","Artículo (s) eliminados del carrito de compras"
"Product %s successfully removed from compare list","El producto %s fue eliminado con éxito de la lista de comparación"
"Product %s successfully added to compare list","El producto %s fue agregado con éxito a la lista de comparación"
"There was an error while cleared compare list","Ocurrió un error mientras se despejaba la lista de comparación"
"Compare list successfully cleared","La lista de comparación ha sido despejada con éxito"
"My Wishlist (%d items)","Mi lista de peticiones (%d artículos)"
"My Wishlist","Mi lista de peticiones"
"wishlist model error","Error en el modelo de la lista de peticiones"
"productId param not set","Parametro de especificación del producto no establecido"
"Cannot specify product","No se puede especificar el producto"
"%1$s was successfully added to your wishlist. Click <a href=%2$s"">here</a> to continue shopping""","""%1$s è stato aggiunto con successo alla tua lista dei desideri. Clicca <a href=""%2$s"">qui</a> per continuare con il tuo shopping"",""%1$s è stato aggiunto con successo alla tua lista dei desideri. Clicca <a href=""%2$s"">qui</a> per continuare con il tuo shopping"""
"There was an error while adding item to wishlist: %s","Si è verificato un errore durante l'aggiunta dell'oggetto alla lista desideri: %s"
"There was an error while adding item to wishlist.","Si è verificato un errore durante l'aggiunta dell'oggetto alla lista desideri."
"There was an error while deleting item from wishlist: %s","Si è verificato un errore durante la rimozione dell'oggetto dalla lista desideri: %s"
"There was an error while deleting item from wishlist.","Si è verificato un errore durante la rimozione dell'oggetto dalla lista desideri."
"Redirect","Reindirizzamento"
"Action was complete","Azione completata."
