"Ajax Pro","Ajax Pro"
"Continue shopping","Continua lo shopping"
"Go to Wishlist","Vai alla Lista Deisderi"
"Are you sure you would like to remove this item from the shopping cart?","Sei sicuro di voler rimuovere questo oggetto dal carrello acquisti?"
"Are you sure you would like to remove this item from the compare products?","Sei sicuro di voler rimuovere questo oggetto dalla lista confronti?"
"Are you sure you would like to remove all products from your comparison?","Sei sicuro di voler rimuovere tutti i prodotti per il confronto?"
"Are you sure you would like to remove this item from the wishlist?","Sei sicuro di voler rimuovere questo oggetto dalla Lista dei Desideri?"
"View cart & checkout","Visualizza carrello & checkout"
"Compare Items","Confronta Oggetti"
"center","Centro"
"top","Cima"
"bottom","Fondo"
"General","Generale"
"Location","Posizione"
"Opacity message form (0 - 1)","Modulo opacità messaggio (0-1)"
"Add to Cart","Aggiungi al Carrello"
"Add to Cart","Aggiungi al Carrello"
"Add to Compare","Aggiungi al Confronto"
"Add to Wishlist","Aggiungi alla Lista Desideri"
"Enabled","Attivato"
"Disable On Shopping Cart Page","Disattiva Sulla Pagina Carrello Acquisti"
"General","Generale"
"Enable Ajax Pro","Attiva Ajax Pro"
"Message window position","Posizione finestra messaggio"
"Message window opacity (0 - 1)","Opacità finestra messaggio (0-1)"
"Message window message","Messaggio finestra messaggio"
"Enable Notice Form","Attiva Modulo Notifica"
"Disable On Shopping Cart Page","Disattiva Sulla Pagina Carrello Acquisti"
"Enable","Attiva"
"Enable message window","Attiva finestra messaggio"
"Enable delete confirm","Attiva conferma eliminazione"
"My Cart (%s item)","Il Mio Carrello (%s oggetti)"
"My Cart","Il Mio Carrello"
"Product not available","Prodotto non disponibile"
"%s was successfully added to your shopping cart.","%s è stato aggiunto con successo al tuo carrello acquisti."
"Can not add item to shopping cart","Impossibile aggiungere oggetto al carrello acquisti"
"Update successful","Aggiornamento Riuscito"
"Shopping cart item(s) remove","Rimuovi oggetto/i da Carrello Acquisti"
"Product %s successfully removed from compare list","Prodotto %s rimosso con successo dalla lista confronti"
"Product %s successfully added to compare list","Prodotto %s aggiunto con successo alla lista confronti"
"There was an error while cleared compare list","Si è verificato un errore durante la pulizia lista confronti"
"Compare list successfully cleared","Lista confronti ripulita con successo"
"My Wishlist (%d items)","La Mia Lista Dei Desideri (%d oggetti)"
"My Wishlist","La Mia Lista Dei Desideri"
"wishlist model error","Errore modello lista desideri"
"productId param not set","parametro productid non impostato"
"Cannot specify product","Impossibile specificare prodotto"
"%1$s was successfully added to your wishlist. Click <a href=%2$s"">here</a> to continue shopping""","""%1$s è stato aggiunto con successo alla tua lista dei desideri. Clicca <a href=""%2$s"">qui</a> per continuare con il tuo shopping"",""%1$s è stato aggiunto con successo alla tua lista dei desideri. Clicca <a href=""%2$s"">qui</a> per continuare con il tuo shopping"""
"There was an error while adding item to wishlist: %s","Si è verificato un errore durante l'aggiunta dell'oggetto alla lista desideri: %s"
"There was an error while adding item to wishlist.","Si è verificato un errore durante l'aggiunta dell'oggetto alla lista desideri."
"There was an error while deleting item from wishlist: %s","Si è verificato un errore durante la rimozione dell'oggetto dalla lista desideri: %s"
"There was an error while deleting item from wishlist.","Si è verificato un errore durante la rimozione dell'oggetto dalla lista desideri."
"Redirect","Reindirizzamento"
"Action was complete","Azione completata."
