"Ajax Pro","Ajax Pro"
"Continue shopping","Continue comprando"
"Go to Wishlist","Vá para a lista de desejos"
"Are you sure you would like to remove this item from the shopping cart?","Você tem certeza de que gostaria de remover este item do carrinho de compras?"
"Are you sure you would like to remove this item from the compare products?","Você tem certeza de que gostaria de remover este item da comparação de produtos?"
"Are you sure you would like to remove all products from your comparison?","Você tem certeza de que gostaria de remover todos os produtos de sua comparação?"
"Are you sure you would like to remove this item from the wishlist?","Você tem certeza de que gostaria de remover este item da lista de desejos?"
"View cart & checkout","Ver carrinho e finalizar"
"Compare Items","Comparar itens"
"center","centro"
"top","início"
"bottom","Fundo"
"General","Geral"
"Location","Localização"
"Opacity message form (0 - 1)","Formulário de mensagem de opacidade (0 - 1)"
"Add to Cart","Adicionar ao carrinho"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para comparar"
"Add to Wishlist","Adicionar à lista de desejos"
"Enabled","Habilitado"
"Disable On Shopping Cart Page","Desativar a página do carrinho de compras"
"General","Geral"
"Enable Ajax Pro","Habilitar Ajax Pro"
"Message window position","Posição da janela de mensagem"
"Message window opacity (0 - 1)","Opacidade da janela de mensagem (0 - 1)"
"Message window message","Mensagem da janela de mensagem "
"Enable Notice Form","Habilitar o formulário de aviso prévio"
"Disable On Shopping Cart Page","Desativar a página do carrinho de compras"
"Enable","Permitir"
"Enable message window","Ativar a janela de mensagem"
"Enable delete confirm","Permitir confirmação de exclusão "
"My Cart (%s item)","Meu carrinho (%s item)"
"My Cart","Meu carrinho"
"Product not available","Produto não disponível"
"%s was successfully added to your shopping cart.","%s foi adicionado com sucesso ao carrinho de compras."
"Can not add item to shopping cart","Não pode adicionar item ao carrinho de compras"
"Update successful","Atualização bem sucedida"
"Shopping cart item(s) remove","Remover itens do carrinho de compras"
"Product %s successfully removed from compare list","Produto %s foi removido com sucesso para a lista de comparação de produto"
"Product %s successfully added to compare list","Produto %s foi adicionado com sucesso para a lista de comparação de produto"
"There was an error while cleared compare list","Ocorreu um erro enquanto as listas eram limpadas"
"Compare list successfully cleared","Lista de comparação limpada com êxito"
"My Wishlist (%d items)","Minha lista de desejost (%d items)"
"My Wishlist","Minha lista de desejos"
"wishlist model error","erro de modelo de lista de desejos"
"productId param not set","productId param não definido"
"Cannot specify product","Não é possível especificar o produto"
"%1$s was successfully added to your wishlist. Click <a href=%2$s"">here</a> to continue shopping""","""%1$s foi adicionado a sua lista de desejos com sucesso. Clique <a href=""%2$s"">aqui</a> para continuar comprando"",""%1$s foi adicionado com sucesso à sua lista de desejos. Clique <a href=""%2$s"">aqui</a> para continuar comprando"""
"There was an error while adding item to wishlist: %s","Houve um erro ao adicionar o item à lista de desejos: %s"
"There was an error while adding item to wishlist.","Houve um erro ao adicionar o item à lista de desejos."
"There was an error while deleting item from wishlist: %s","Houve um erro ao excluir o item da lista de desejos: %s"
"There was an error while deleting item from wishlist.","Houve um erro ao excluir o item da lista de desejos."
"Redirect","Redirecionar"
"Action was complete","A ação foi completada"
